# Synths Manifest - Generated 2025-12-25 00:26:36
Name,Path,Modified,Firmware,Sample Count,Samples
"SYNT015","SYNTHS/SYNT015.XML",2025-12-24,2.0.0-beta,0,""
"SYNT016","SYNTHS/SYNT016.XML",2025-12-24,2.0.0-beta,0,""
"SYNT017","SYNTHS/SYNT017.XML",2025-12-24,2.0.0-beta,0,""
"SYNT018","SYNTHS/SYNT018.XML",2025-12-24,2.0.0-beta,0,""
"SYNT018A","SYNTHS/SYNT018A.XML",2025-12-24,4.0.1,0,""
"SYNT019","SYNTHS/SYNT019.XML",2025-12-24,2.0.0-beta,0,""
"SYNT020","SYNTHS/SYNT020.XML",2025-12-24,2.0.0-beta,0,""
"SYNT021","SYNTHS/SYNT021.XML",2025-12-24,2.0.0-beta,0,""
"SYNT022","SYNTHS/SYNT022.XML",2025-12-24,2.0.0-beta,0,""
"SYNT023","SYNTHS/SYNT023.XML",2025-12-24,2.0.0-beta,0,""
"SYNT024","SYNTHS/SYNT024.XML",2025-12-24,2.0.0-beta,0,""
"SYNT025","SYNTHS/SYNT025.XML",2025-12-24,2.0.0-beta,0,""
"SYNT026","SYNTHS/SYNT026.XML",2025-12-24,2.0.0-beta,0,""
"SYNT027","SYNTHS/SYNT027.XML",2025-12-24,2.0.0-beta,0,""
"SYNT027A","SYNTHS/SYNT027A.XML",2025-12-24,4.0.1,0,""
"SYNT028","SYNTHS/SYNT028.XML",2025-12-24,,0,""
"SYNT029","SYNTHS/SYNT029.XML",2025-12-24,2.0.0-beta,0,""
"SYNT030","SYNTHS/SYNT030.XML",2025-12-24,,0,""
"SYNT031","SYNTHS/SYNT031.XML",2025-12-24,,0,""
"SYNT032","SYNTHS/SYNT032.XML",2025-12-24,,0,""
"SYNT033","SYNTHS/SYNT033.XML",2025-12-24,,0,""
"SYNT034","SYNTHS/SYNT034.XML",2025-12-24,2.0.0-beta,0,""
"SYNT035","SYNTHS/SYNT035.XML",2025-12-24,2.0.0-beta,0,""
"SYNT035A","SYNTHS/SYNT035A.XML",2025-12-24,4.0.0,0,""
"SYNT036","SYNTHS/SYNT036.XML",2025-12-24,2.0.0-beta,0,""
"SYNT037","SYNTHS/SYNT037.XML",2025-12-24,2.0.0-beta,0,""
"SYNT038","SYNTHS/SYNT038.XML",2025-12-24,2.0.0-beta,0,""
"SYNT039","SYNTHS/SYNT039.XML",2025-12-24,,0,""
"SYNT040","SYNTHS/SYNT040.XML",2025-12-24,2.0.0-beta,0,""
"SYNT041","SYNTHS/SYNT041.XML",2025-12-24,2.0.0-beta,0,""
"SYNT042","SYNTHS/SYNT042.XML",2025-12-24,,0,""
"SYNT043","SYNTHS/SYNT043.XML",2025-12-24,,0,""
"SYNT044","SYNTHS/SYNT044.XML",2025-12-24,2.0.0-beta,0,""
"SYNT045","SYNTHS/SYNT045.XML",2025-12-24,,0,""
"SYNT046","SYNTHS/SYNT046.XML",2025-12-24,2.0.0-beta,0,""
"SYNT047","SYNTHS/SYNT047.XML",2025-12-24,,0,""
"SYNT047A","SYNTHS/SYNT047A.XML",2025-12-24,4.0.1,0,""
